rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
835,5,J&J Snack Foods Corp.,unclassified food/bev mfr,,Mount Laurel,New Jersey,http://www.jjsnack.com,1.583233E9,4600,Public,"Daniel Fachner — Chairman of the Board, President, Chief Executive Officer",3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; large; Northeast,not contacted,,
836,5,"JBS Packerland, Inc.",unclassified food/bev mfr,,Green Bay,Wisconsin,http://www.jbsfoodsgroup.com,3.1972647E7,1000,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
837,5,"JBS Plainwell, Inc.",unclassified food/bev mfr,,Plainwell,Michigan,http://www.jbsfoodsgroup.com,2.4415388E7,250,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
838,5,"JBS Souderton, Inc.",unclassified food/bev mfr,,Souderton,Pennsylvania,http://www.mopac.com,4.5933113E7,1550,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
839,5,"JBS Tolleson, Inc.",unclassified food/bev mfr,,Tolleson,Arizona,,3.1972647E7,475,Private,,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
840,5,Jasper Products,confirmed co-man (public sweep),beverage,Joplin,MO,https://www.jasperproducts.com/,,~800 (2025 press),,,0,0,,verified co-man (public sweep),not contacted,,
841,5,"Kerr Concentrates, Inc.",unclassified food/bev mfr,,Salem,Oregon,http://www.kerrbyingredion.com,2.1839609E7,85,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
842,5,Kerry Inc.,unclassified food/bev mfr,,Beloit,Wisconsin,http://www.kerry.com,9.826355E8,1800,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
843,5,"Keurig Green Mountain, Inc.",unclassified food/bev mfr,,Burlington,Massachusetts,http://www.keurigdrpepper.com,1.0046326E9,6000,Private,Patricia Riddle — Vice President Of Sales,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; large; Northeast,not contacted,,
844,5,Koch Foods LLC,unclassified food/bev mfr,,Chattanooga,Tennessee,http://www.kochfoods.com,5.7768944E7,103,Private,,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
845,5,Koch Foods Of Alabama LLC,unclassified food/bev mfr,,Montgomery,Alabama,,2.1403236E7,131,Private,,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit,not contacted,,
