rank,score,company_name,coman_status,segment,city,state,website,sales_usd,employees_total,ownership_type,best_contact_from_hoovers,n_contacts,n_with_email,sweep_key_person,rationale,outreach_status,mergent_email,mergent_phone
1,12,Adirondack Beverages Corp,confirmed co-man (public sweep),beverage,Schenectady,New York,http://www.adirondackbeverages.com,3.8142498E7,1000,Private,Michael Mulrain — Chief Financial Officer,3,1,,verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
2,12,Blount Fine Foods Corp.,confirmed co-man (public sweep),wet-frozen-supplements,Fall River,Massachusetts,http://www.blountfinefoods.com,1.3754517E8,225,Private,William Bigelow — Chief Operating Officer,3,2,Todd Blount (President & CEO (third generation)),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
3,12,"Kettle Cuisine, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Lynn,Massachusetts,http://www.kettlecuisine.com,1.05E8,1200,Private,Jeremy Kacuba — Chief Operating Officer,3,1,Liam McClennon (CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
4,11,Anthony-Thomas Candy Company,confirmed co-man (public sweep),snack-bakery,Columbus,Ohio,http://www.anthony-thomas.com,2.3741371E7,191,Private,Joe Zanetos — President,3,1,Joseph Zanetos (President),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
5,11,"Berner Food & Beverage, LLC",confirmed co-man (public sweep),beverage,Dakota,Illinois,http://www.bernerfoodandbeverage.com,4.9590366E7,300,Private,Bill Marchido — President,3,2,Steve Kneubuehl (CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
6,11,"Cedarlane Natural Foods, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Carson,California,http://www.cedarlanefoods.com,4.4410809E7,600,Private,Robert Atallah — Principal Owner,3,1,Robert Atallah (Founder & CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
7,11,"Golden Boy Foods USA, Inc.",confirmed co-man (public sweep),snack-bakery,Fenton,Missouri,http://www.8ave.com,3.0680788E7,100,Private,Jim Donzelli — Senior Vice President Of Sales,3,2,Jim Dwyer (President & CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
8,11,"Lyons Magnus, LLC",confirmed co-man (public sweep),beverage,Fresno,California,http://www.lyonsmagnus.com,9.2724847E8,873,Private,Stacey Huels — President North Division,3,2,Edward Carolan (CEO),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
9,11,"Organic Milling, Inc.",confirmed co-man (public sweep),snack-bakery,San Dimas,California,http://www.organicmilling.com,2.6565638E7,123,Private,Wolfgang Buehler — Chief Executive Officer,3,1,Wolfgang Buehler (CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
10,11,Palmer & Company,confirmed co-man (public sweep),snack-bakery,Sioux City,Iowa,http://www.palmercandy.com,2.6936073E7,175,Private,BRENDA Huls — Chief Financial Officer,3,1,Marty Palmer (President & CEO),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
11,11,"Stremicks Heritage Foods, LLC",confirmed co-man (public sweep),beverage,Santa Ana,California,http://www.heritage-foods.com,5.3102966000000006E8,430,Private,Jack Noenickx — Chief Financial Officer,3,2,,verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
12,11,"Tulkoff Food Products, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Baltimore,Maryland,http://www.tulkoff.com,2.6145802E7,95,Private,Buddy Dietz — chief operating officer,3,2,Mike Kagan (CEO (appointed Feb 2025)),verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
13,11,Vanee Foods Company,confirmed co-man (public sweep),wet-frozen-supplements,Oak Brook,Illinois,http://www.vanee.com,6.5014191E7,100,Private,Andrew Vanee — Chief Financial Officer,3,1,Aloysius Van Eekeren (President),verified co-man (public sweep); 1 email(s) in Hoovers; mid-market size fit,not contacted,,
14,11,Wixon Inc.,confirmed co-man (public sweep),snack-bakery,Milwaukee,Wisconsin,http://www.wixon.com,4.4102703E7,200,Private,Patrick McGarry — Chief Operating Officer,3,3,Peter Gottsacker (President),verified co-man (public sweep); 3 email(s) in Hoovers; mid-market size fit,not contacted,,
15,11,"Wolfgang Operations, LLC",confirmed co-man (public sweep),snack-bakery,York,Pennsylvania,http://www.wolfgangco.com,2.822147E7,225,Private,Glen Mattheu — Chief Operating Officer,3,2,,verified co-man (public sweep); 2 email(s) in Hoovers; mid-market size fit,not contacted,,
16,10,"Ford Gum & Machine Company, Inc.",likely co-man (D&B description),,Akron,New York,http://www.fordgum.com,2.4596226E7,120,Private,Scott Lerner — Chief Executive Officer,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
17,10,"Star Snacks Co., LLC",confirmed co-man (public sweep),snack-bakery,Jersey City,New Jersey,http://www.starsnacks.net,5.2362316E7,380,Private,Joey Weinreich — Vice President Sales,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
18,10,Union Beverage Packers LLC,confirmed co-man (public sweep),beverage,Hillside,New Jersey,http://www.unionbevnj.com,2.315925E7,170,Private,Yaron Gohar — Chief Executive Officer,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
19,9,American Crystal Sugar Company,likely co-man (D&B description),,Moorhead,Minnesota,http://www.crystalsugar.com,7.9759937E8,1365,Private,"Thomas Astrup — Chief Executive Officer, Member of the Senior Management Team, President",3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
20,9,Burke Marketing Corporation,likely co-man (D&B description),,Nevada,Iowa,http://www.burkecorp.com,4.0282543E7,348,Private,Craig Willard — Principal,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
21,9,"Carolina Foods, LLC",confirmed co-man (public sweep),beverage,Charlotte,North Carolina,http://www.carolinafoodsinc.com,5.379987E7,400,Private,,3,0,Brian Demos (President & CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
22,9,"City Brewing Company, LLC",confirmed co-man (public sweep),beverage,La Crosse,Wisconsin,http://www.citybrewery.com,1.5852467E8,400,Private,Ross Sannes — Chief Executive Officer,3,0,Ross Sannes (CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
23,9,"Coating Place, LLC",likely co-man (D&B description),,Verona,Wisconsin,http://www.coatingplace.com,2.2132807E7,140,Private,Timothy Breunig — Chief Executive Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
24,9,"Coloma Frozen Foods, Inc.",likely co-man (D&B description),,Coloma,Michigan,http://www.colomafrozen.com,2.1695578E7,150,Private,Bradley Wendzel — President,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
25,9,Delgrosso Foods Inc.,likely co-man (D&B description),,Tipton,Pennsylvania,http://www.delgrossos.com,2.0779535E7,137,Private,Sean Albright — Chief Financial Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
26,9,"DrinkPAK, LLC",confirmed co-man (public sweep),beverage,Santa Clarita,California,http://www.drinkpak.com,7.4E7,600,Private,Brian Aster — Chief Financial Officer,3,0,Nate Patena (CEO & Co-founder),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
27,9,"Ellison Bakery, LLC",confirmed co-man (public sweep),snack-bakery,Fort Wayne,Indiana,http://www.ebakery.com,2.5246843E7,150,Private,,1,0,Stephanie Chattillion (CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
28,9,Fremont Beef Company,likely co-man (D&B description),,Fremont,Nebraska,http://www.fremontbeef.com,2.0119967E7,110,Private,Max Nagasaka — Chief Executive Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
29,9,"Fresca Foods, Inc.",confirmed co-man (public sweep),snack-bakery,Louisville,Colorado,http://www.frescafoodsinc.com,5.3636196E7,250,Private,,1,0,Brandon Viar (CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
30,9,GEORGIA NUT COMPANY,confirmed co-man (public sweep),snack-bakery,Skokie,Illinois,http://www.georgianutcorp.com,1.014127E8,1027,Private,,1,0,John Drehobl (President & CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
31,9,Gilster-Mary Lee Corporation,confirmed co-man (public sweep),snack-bakery,Chester,Illinois,http://www.gilstermarylee.com,5.5303625E8,4200,Private,Ronald Tretter — Vice President,3,3,,verified co-man (public sweep); 3 email(s) in Hoovers; large,not contacted,,
32,9,"Hearthside Food Solutions, LLC",confirmed co-man (public sweep),snack-bakery,Downers Grove,Illinois,http://www.hearthsidefoods.com,1.8152948E9,11500,Private,Nick Hewitt — Chief Financial Officer,3,3,Darlene Nicosia (CEO),verified co-man (public sweep); 3 email(s) in Hoovers; large,not contacted,,
33,9,"LIEF ORGANICS, LLC",confirmed co-man (public sweep),wet-frozen-supplements,Valencia,California,http://www.lieflabs.com,2.6119652E7,200,Private,Steve Chopp — Chief Financial Officer,3,0,Adel Villalobos (Founder & CEO),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
34,9,"Lakeside Foods, Inc.",confirmed co-man (public sweep),wet-frozen-supplements,Manitowoc,Wisconsin,http://www.lakesidefoods.com,5.2993677E8,1589,Private,,1,0,Joe Yanda (President & CEO (since 2021)),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
35,9,"MGP Ingredients, Inc.",confirmed co-man (public sweep),beverage,Atchison,Kansas,http://www.mgpingredients.com,5.36375E8,617,Public,"Julie Francis — President, Chief Executive Officer",3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
36,9,"Marich Confectionery Company, Inc.",likely co-man (D&B description),,Hollister,California,http://www.marich.com,2.1537209E7,150,Private,Leonard Spelt — Chief Executive Officer,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
37,9,"Pacific Choice Brands, Inc.",likely co-man (D&B description),,Fresno,California,http://www.pcbrands.com,4.3463223E7,475,Private,Allan Andrews — Chief Executive Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
38,9,"Pretzels, LLC",likely co-man (D&B description),,Bluffton,Indiana,http://www.pretzels-inc.com,2.3837011E7,325,Private,Bernardo Germosen — Principal,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
39,9,"Producers Rice Mill, Inc.",likely co-man (D&B description),,Stuttgart,Arkansas,http://www.producersrice.com,6.4118506E8,950,Private,Brooks Davis — Principal,3,2,,D&B text mentions contract/private-label; 2 email(s) in Hoovers; mid-market size fit,not contacted,,
40,9,Refresco Beverages US Inc.,confirmed co-man (public sweep),beverage,Tampa,Florida,http://www.refresco-na.com,4.7613901E8,2600,Private,,3,0,Brad Goist (CEO Refresco Beverages US / COO North America),"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
41,9,"Shearer's Foods, LLC",confirmed co-man (public sweep),snack-bakery,Massillon,Ohio,http://www.shearers.com,7.1270404E8,1600,Private,Sarah Toast — Principal,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
42,9,Snak-King LLC,confirmed co-man (public sweep),snack-bakery,City OF Industry,California,http://www.snakking.com,9.3918556E7,577,Private,,1,0,Barry C. Levin (Chairman & CEO),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
43,9,The Pecan Deluxe Candy Company,confirmed co-man (public sweep),wet-frozen-supplements,Dallas,Texas,http://www.pecandeluxe.com,5.4536945E7,240,Private,,1,0,Ray Walsh (Founder),"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
44,9,"TreeHouse Foods, Inc.",confirmed co-man (public sweep),snack-bakery,Oak Brook,Illinois,http://www.treehousefoods.com,3.354E9,7685,Private,Robin Keller — Vice President Chief Information Officer,3,1,Steven Oakland (President & CEO),verified co-man (public sweep); 1 email(s) in Hoovers; large,not contacted,,
45,9,"Unix Packaging, LLC",confirmed co-man (public sweep),beverage,Montebello,California,http://www.unixpackaging.com,9.5477882E7,388,Private,Ed Hickey — Chief Financial Officer,3,0,,"verified co-man (public sweep); 3 contact(s), no email flag; mid-market size fit",not contacted,,
46,9,Woeber Mustard Manufacturing Company,likely co-man (D&B description),,Springfield,Ohio,http://www.woebermustard.com,3.3008961E7,245,Private,Raymond Woeber — President,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; mid-market size fit,not contacted,,
47,8,Baldwin Richardson Foods Company,likely co-man (D&B description),,Macedon,New York,http://www.brfoods.com,2.0327159E8,676,Private,Eric Johnson — President Chief Executive Officer,3,0,,"D&B text mentions contract/private-label; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
48,8,"CHELTEN HOUSE PRODUCTS, LLC",likely co-man (D&B description),,Swedesboro,New Jersey,http://www.cheltenhouse.com,5.2441345E7,470,Private,Jason Dabrow — President Coo,3,0,,"D&B text mentions contract/private-label; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
49,8,"Johanna Foods, Inc.",likely co-man (D&B description),,Flemington,New Jersey,http://www.johannafoods.com,1.0492954E8,540,Private,Jeff West — Chief Financial Officer Chief Information Officer,3,0,,"D&B text mentions contract/private-label; 3 contact(s), no email flag; mid-market size fit; Northeast",not contacted,,
50,8,Seneca Foods Corporation,likely co-man (D&B description),,Fairport,New York,http://www.senecafoods.com,1.659675E9,2995,Public,Timothy Benjamin — Senior Vice President And Chief Financial Officer,3,1,,D&B text mentions contract/private-label; 1 email(s) in Hoovers; large; Northeast,not contacted,,
51,8,Specialty Bakers Holding Company LLC,confirmed co-man (public sweep),snack-bakery,Marysville,Pennsylvania,http://www.marinojustice.com,2.8946316E7,230,Private,,1,0,,"verified co-man (public sweep); 1 contact(s), no email flag; mid-market size fit",not contacted,,
52,7,"A. Zerega's Sons, Inc.",unclassified food/bev mfr,,Fair Lawn,New Jersey,http://www.zerega.com,2.3007849E7,200,Private,Robert Vermylen — Vice President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
53,7,"Al and John, Inc.",unclassified food/bev mfr,,Caldwell,New Jersey,http://www.glenrockhams.com,2.7378147E7,300,Private,Alexander Oldja — President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
54,7,"Allen Flavors, Inc.",unclassified food/bev mfr,,South Plainfield,New Jersey,http://www.allenflavors.com,2.365509E7,115,Private,Sal Brucato — Chief Operating Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
55,7,B & B Poultry Co Inc,unclassified food/bev mfr,,Elmer,New Jersey,http://www.bbpoultry.com,2.3967476E7,175,Private,Mark Fisher — Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
56,7,"B&G Foods North America, Inc.",unclassified food/bev mfr,,Parsippany,New Jersey,http://www.bgfoods.com,4.6042095E7,300,Private,Kenneth Keller — Director President And Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
57,7,"Bakewise Brands, Inc.",unclassified food/bev mfr,,Macedon,New York,http://www.bakewisebrands.com,2.5893177E7,135,Private,Aaron Fleischer — Vice President Of Sales,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
58,7,Beech-Nut Nutrition Company,unclassified food/bev mfr,,Amsterdam,New York,http://www.beechnut.com,4.2585739E7,300,Private,Jeffrey Boutelle — PRESIDENT,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
59,7,"Beverage Distribution Center, Inc.",unclassified food/bev mfr,,Pennsauken,New Jersey,http://www.hongrp.com,4.3877811E7,200,Private,Walter Wilkinson — President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
60,7,Big Geyser Inc.,unclassified food/bev mfr,,Maspeth,New York,http://www.biggeyser.com,2.2162895E7,300,Private,Jerry Reda — Chief Operating Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
61,7,"Bio-Nutritional Research Group, Inc.",unclassified food/bev mfr,,Parsippany,New Jersey,http://www.powercrunch.com,2.1108791E7,185,Private,Curtis Steinhaus — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
62,7,"Bread Alone, Inc.",unclassified food/bev mfr,,Lake Katrine,New York,http://www.breadalone.com,2.1290178E7,100,Private,Sharon BURNSLEADER — Chief Operating Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
63,7,Brooklyn Bottling,confirmed co-man (public sweep),beverage,Milton,NY,https://brooklynbottling.com/,,,,,0,0,Eric Miller (Owner (third generation)),verified co-man (public sweep); Northeast,not contacted,,
64,7,"CABOT CREAMERY COOPERATIVE, INC.",unclassified food/bev mfr,,Waitsfield,Vermont,http://www.cabotcreamery.com,3.1664392E7,300,Private,Mark Hackett — Principal,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
65,7,"CLINTON'S DITCH CO-OPERATIVE COMPANY, INC.",unclassified food/bev mfr,,Cicero,New York,http://www.clintonsditch.com,4.3568977E7,155,Private,Jonelle BaskinKelley — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
66,7,"Cafe Spice, LLC",unclassified food/bev mfr,,New Windsor,New York,http://www.cafespice.com,5.3572987E7,200,Private,Sameer Malhotra — Chief Executive Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
67,7,"Calise & Sons Bakery, LLC",unclassified food/bev mfr,,Lincoln,Rhode Island,http://www.calisebakery.com,2.8339127E7,185,Private,Michael Calise — President,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
68,7,"Caribbean Foods Delight, Inc.",unclassified food/bev mfr,,Tappan,New York,http://www.cfdnyinc.com,2.3692505E7,80,Private,Sabrina Simone — chief operating officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
69,7,Catania-Spagna Corporation,unclassified food/bev mfr,,Ayer,Massachusetts,http://www.cataniaoils.com,9.473082E7,270,Private,Joseph Basile — President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
70,7,"Catelli Bros., Inc.",unclassified food/bev mfr,,Camden,New Jersey,http://www.catellibrothers.com,3.4348099E7,250,Private,John Hamberger — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
71,7,"Ce De Candy, Inc.",unclassified food/bev mfr,,Union,New Jersey,http://www.smarties.com,2.3491222E7,240,Private,Jonathan Dee — President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
72,7,"Colonna Brothers, Inc.",unclassified food/bev mfr,,North Bergen,New Jersey,http://www.colonnabrothers.com,2.4360674E7,120,Private,Dylan Tighe — Chief Operating Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
73,7,"Concord Foods, LLC",unclassified food/bev mfr,,Brockton,Massachusetts,http://www.concordfoods.com,5.0183792E7,218,Private,James Fanchin — Vice President Sales,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
74,7,Cookies United,confirmed co-man (public sweep),snack-bakery,Islip,NY,https://www.cookiesunited.com,,~350 across two facilities (with affiliate),,,0,0,Luis Galeano (President & CEO),verified co-man (public sweep); Northeast,not contacted,,
75,7,"Costanzo's Bakery, LLC",unclassified food/bev mfr,,Buffalo,New York,http://www.costanzosbakery.com,2.4212076E7,130,Private,Robert Pavone — Chief Financial Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
76,7,Craft Cannery,confirmed co-man (public sweep),wet-frozen-supplements,Bergen,NY,https://www.craftcannery.com,,"~10+ (grew from 3 to 10 in first six months, 2020)",,,0,0,Paul Guglielmo (CEO & Owner),verified co-man (public sweep); Northeast,not contacted,,
77,7,"Cumberland Dairy, LLC",unclassified food/bev mfr,,Rosenhayn,New Jersey,http://www.cumberlanddairy.com,5.6130589E7,110,Private,David Catalana — Vice President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
78,7,"DIAGEO AMERICAS SUPPLY, INC.",unclassified food/bev mfr,,Norwalk,Connecticut,,4.1422607E7,111,Private,Martin Brodbeck — Senior Vice President and Chief Technology Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
79,7,DILUIGI'S INC.,unclassified food/bev mfr,,Rowley,Massachusetts,http://www.diluigifoods.com,2.1071938E7,100,Private,Louis Diluigi — President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
80,7,Deep Foods Inc.,unclassified food/bev mfr,,Union,New Jersey,http://www.deepfoods.com,5.3976536E7,150,Private,Arvind Amin — President,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
81,7,"Deiorio Foods, Inc.",unclassified food/bev mfr,,Utica,New York,http://www.deiorios.com,3.3055462E7,440,Private,John Lauchert — Chief Financial Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
82,7,Dr. Praeger's Sensible Foods LLC,unclassified food/bev mfr,,Saddle Brook,New Jersey,http://www.drpraegers.com,1.0E8,245,Private,Anita Gogia — Chief Financial Officer,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
83,7,"Dunkin' Brands Group, Inc.",unclassified food/bev mfr,,Canton,Massachusetts,http://www.dunkinbrands.com,2.0687295E9,1145,Private,Kelly Lowell — Principal,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
84,7,"Elan Chemical Co., Inc.",unclassified food/bev mfr,,Newark,New Jersey,http://www.elan-chemical.com,2.3532764E7,68,Private,Louis Shragher — Chief Financial Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
85,7,F.X. Matt Brewing Company (Saranac),confirmed co-man (public sweep),beverage,Utica,NY,https://www.saranac.com/,,,,,0,0,Fred Matt (President),verified co-man (public sweep); Northeast,not contacted,,
86,7,"Flavor & Fragrance Specialties, Inc.",unclassified food/bev mfr,,Mahwah,New Jersey,http://www.ffs.com,4.729845E7,100,Private,Michael Bloom — President,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
87,7,Food Sciences Corp.,unclassified food/bev mfr,,Mount Laurel,New Jersey,http://www.foodsciences.com,3.9364918E7,330,Private,Michael Sobers — Vice President of Operations,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
88,7,"Foodlink, Inc.",unclassified food/bev mfr,,Rochester,New York,http://www.foodlinkny.org,7.2318588E7,110,Nonprofit,Julia Tedesco — Chief Executive Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
89,7,Gatherer's Granola,confirmed co-man (public sweep),snack-bakery,Schenectady,NY,https://www.gatherersgranola.com,,,,,0,0,Alessandro Gerbini (Founder & CEO),verified co-man (public sweep); Northeast,not contacted,,
90,7,Go Africa Global LLC,unclassified food/bev mfr,,New York,New York,http://www.goafricaglobal.com,2.2707634E8,220,Private,Samuel Jones — President,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
91,7,"Golden Platter Foods, Inc.",unclassified food/bev mfr,,Newark,New Jersey,http://www.goldenplatter.com,2.5057978E7,240,Private,Scott Bennett — Chief Executive Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
92,7,"Gourmet Boutique, L.L.C.",unclassified food/bev mfr,,Jamaica,New York,http://www.gourmetboutique.com,4.4151726E7,405,Private,Susan Santos — President,3,3,,co-man status UNKNOWN — needs website check; 3 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
93,7,"Hans Kissle Company, LLC",unclassified food/bev mfr,,Haverhill,Massachusetts,http://www.hanskissle.com,6.2205402E7,140,Private,John Kennington — Vice President Of Sales,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
94,7,Harbar LLC,unclassified food/bev mfr,,Canton,Massachusetts,http://www.harbar.com,2.6306654E7,174,Private,Ezequiel Cheque Montemayor — Chief Executive Officer,3,1,,co-man status UNKNOWN — needs website check; 1 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
95,7,Hillside Candy,confirmed co-man (public sweep),snack-bakery,Hillside,NJ,,,,,,0,0,Ted Cohen (President (post-2016 acquisition)),verified co-man (public sweep); Northeast,not contacted,,
96,7,"Inventure Foods, Inc.",likely co-man (D&B description),,Hanover,Pennsylvania,,2.6901199E8,687,Private,John Thompson — Executive Vice President,3,0,,"D&B text mentions contract/private-label; 3 contact(s), no email flag; mid-market size fit",not contacted,,
97,7,Iron Heart Canning Company,confirmed co-man (public sweep),beverage,Manchester,NH,https://www.ironheartcanning.com/,,,,,0,0,Tyler Wille (Founder & CEO),verified co-man (public sweep); Northeast,not contacted,,
98,7,Jimmy's Gourmet Bakery LLC,unclassified food/bev mfr,,Clifton,New Jersey,http://www.jimmyscookies.com,9.5512901E7,130,Partnership,Deborah Kinzley — Chief Financial Officer,3,2,,co-man status UNKNOWN — needs website check; 2 email(s) in Hoovers; mid-market size fit; Northeast,not contacted,,
99,7,"John B. Sanfilippo & Son, Inc.",likely co-man (D&B description),,Elgin,Illinois,http://www.jbssinc.com,1.107246E9,1900,Public,Jeffrey Sanfilippo — Chairman Of The Board Chief Executive Officer,3,0,,"D&B text mentions contract/private-label; 3 contact(s), no email flag; mid-market size fit",not contacted,,
100,7,"Johnsonville, LLC",likely co-man (D&B description),,Sheboygan Falls,Wisconsin,http://www.johnsonville.com,5.9565503E8,3000,Private,Lori Plate — Vice President And Chief Information Officer,3,3,,D&B text mentions contract/private-label; 3 email(s) in Hoovers; large,not contacted,,
